		HOLA	                                                                             TEL.	4282-9358 / 1555234202 / 1522112978 / 				494*7130					
	FONDOS	FONDO PIZZERO	SATINADO 25 X 25 (CH)	$20,00	1,00	$18,00	10,00	$180,00	10,00	KILO	1 KILO DE SATINADO 25 X 25 (CH) A $20	10 KILOS DE $18 C/U A $180	10 KILOS A $180
	FONDOS	FONDO RAVIOLERO 	SATINADO	$20,00	1,00	$18,00	10,00	$180,00	10,00	KILO	1 KILO DE SATINADO A $20	10 KILOS DE $18 C/U A $180	10 KILOS A $180
													
COD.			                    ROLLOS DE P.V.C 	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	ROLLOS	ROLLOS DE P.V.C	FILM  30 X 800 MTS 	$178,00	1,00	$156,70	1,00	$156,70	11,97	ROLLO	1 ROLLO DE FILM  30 X 800 MTS  A $178	1 ROLLOS DE $156,7 C/U A $156,7	1 ROLLOS A $156,7
	ROLLOS	ROLLOS DE P.V.C	FILM  38 X 800 MTS 	$216,00	1,00	$194,40	1,00	$194,40	10,00	ROLLO	1 ROLLO DE FILM  38 X 800 MTS  A $216	1 ROLLOS DE $194,4 C/U A $194,4	1 ROLLOS A $194,4
	ROLLOS	ROLLOS DE P.V.C	FILM  45 X 800 MTS 	$243,00	1,00	$218,70	1,00	$218,70	10,00	ROLLO	1 ROLLO DE FILM  45 X 800 MTS  A $243	1 ROLLOS DE $218,7 C/U A $218,7	1 ROLLOS A $218,7
	ROLLOS	ROLLOS DE P.V.C	FILM  30 X 30   MTS	$10,00	1,00	$6,00	30,00	$180,00	40,00	ROLLO	1 ROLLO DE FILM  30 X 30   MTS A $10	30 ROLLOS DE $6 C/U A $180	30 ROLLOS A $180
	ROLLOS	ROLLOS DE P.V.C	FILM  30 X 300 MTS	$37,00	1,00	$33,30	15,00	$499,50	10,00	ROLLO	1 ROLLO DE FILM  30 X 300 MTS A $37	15 ROLLOS DE $33,3 C/U A $499,5	15 ROLLOS A $499,5
	ROLLOS	ROLLOS DE P.V.C	FILM  38 X 200 MTS (economico)	$43,00	1,00	$38,70	12,00	$464,40	10,00	ROLLO	1 ROLLO DE FILM  38 X 200 MTS (economico) A $43	12 ROLLOS DE $38,7 C/U A $464,4	12 ROLLOS A $464,4
	ROLLOS	ROLLOS DE P.V.C	FILM  38 X 300 MTS	$48,00	1,00	$43,20	16,00	$691,20	10,00	ROLLO	1 ROLLO DE FILM  38 X 300 MTS A $48	16 ROLLOS DE $43,2 C/U A $691,2	16 ROLLOS A $691,2
	ROLLOS	ROLLOS DE P.V.C	FILM  45 X 300 MTS	$60,00	1,00	$59,00	20,00	$1.180,00	1,67	ROLLO	1 ROLLO DE FILM  45 X 300 MTS A $60	20 ROLLOS DE $59 C/U A $1180	20 ROLLOS A $1180
	ROLLOS	ROLLOS DE P.V.C	MANTECA 30 X 5   MTS ROLLO	$12,00	1,00	$10,80	30,00	$324,00	10,00	ROLLO	1 ROLLO DE MANTECA 30 X 5   MTS ROLLO A $12	30 ROLLOS DE $10,8 C/U A $324	30 ROLLOS A $324
	ROLLOS	ROLLOS DE P.V.C	MANTECA 38 X 50 MTS ROLLO	$80,00	1,00	$75,00	20,00	$1.500,00	6,25	ROLLO	1 ROLLO DE MANTECA 38 X 50 MTS ROLLO A $80	20 ROLLOS DE $75 C/U A $1500	20 ROLLOS A $1500
	ROLLOS	ROLLOS DE P.V.C	ALUMINIO 30 X 5 MTS 	$10,00	1,00	$6,00	30,00	$180,00	40,00	ROLLO	1 ROLLO DE ALUMINIO 30 X 5 MTS  A $10	30 ROLLOS DE $6 C/U A $180	30 ROLLOS A $180
	ROLLOS	ROLLOS DE P.V.C	ALUMINIO 38 X 1 KILO 	$82,00	1,00	$73,80	20,00	$1.476,00	10,00	ROLLO	1 ROLLO DE ALUMINIO 38 X 1 KILO  A $82	20 ROLLOS DE $73,8 C/U A $1476	20 ROLLOS A $1476
													
COD.			              POTES BISAGRA ROTLEN                       X MENOR                                                                   X MAYOR	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	POTES	POTES BISAGRA ROTLEN	(3042)  250cc	$1,10	100,00	$0,98	800,00	$784,00	10,91	NOSE	NOSE DE 100 UNID.  DE (3042)  250cc A $1,1 C/U	800 NOSES DE $0,98 C/U A $784	8 NOSES DE 100 UNIDADES A $784
	POTES	POTES BISAGRA ROTLEN	(3050)  500cc	$1,20	100,00	$0,98	800,00	$784,00	18,33	NOSE	NOSE DE 100 UNID.  DE (3050)  500cc A $1,2 C/U	800 NOSES DE $0,98 C/U A $784	8 NOSES DE 100 UNIDADES A $784
	POTES	POTES BISAGRA ROTLEN	(3071)  750cc	$1,30	100,00	$1,05	800,00	$840,00	19,23	NOSE	NOSE DE 100 UNID.  DE (3071)  750cc A $1,3 C/U	800 NOSES DE $1,05 C/U A $840	8 NOSES DE 100 UNIDADES A $840
													
COD.			             POTES Y TAPAS PLASTICAS	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	POTES	POTE NATURAL	 150cc	$67,00	100,00	$0,60	1.000,00	$600,00	99,10	NOSE	NOSE DE 100 UNID.  DE  150cc A $67 C/U	1000 NOSES DE $0,6 C/U A $600	10 NOSES DE 100 UNIDADES A $600
	POTES	POTE NATURAL	 250cc	$72,00	100,00	$0,65	1.000,00	$650,00	99,10	NOSE	NOSE DE 100 UNID.  DE  250cc A $72 C/U	1000 NOSES DE $0,65 C/U A $650	10 NOSES DE 100 UNIDADES A $650
	POTES	POTE NATURAL	 500cc	$108,00	100,00	$0,97	1.000,00	$970,00	99,10	NOSE	NOSE DE 100 UNID.  DE  500cc A $108 C/U	1000 NOSES DE $0,97 C/U A $970	10 NOSES DE 100 UNIDADES A $970
	TAPAS	TAPAS PARA POTES	(150/250/500cc)	$45,00	100,00	$0,41	1.000,00	$410,00	99,09	NOSE	NOSE DE 100 UNID.  DE (150/250/500cc) A $45 C/U	1000 NOSES DE $0,41 C/U A $410	10 NOSES DE 100 UNIDADES A $410
													
COD.			                    PLATOS TERMICOS	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	PLATOS	PLATOS TERMICOS	 Nº34  X  1000ml  C/TAPA (ISOPOR)	$4,00	100,00	$3,48	100,00	$348,00	13,00	NOSE	NOSE DE 100 UNID.  DE  Nº34  X  1000ml  C/TAPA (ISOPOR) A $4 C/U	100 NOSES DE $3,48 C/U A $348	1 NOSES DE 100 UNIDADES A $348
	PLATOS	PLATOS TERMICOS	 Nº110  X 1000ml   C/TAPA (BANDEX)	$3,70	100,00	$3,33	300,00	$999,00	10,00	NOSE	NOSE DE 100 UNID.  DE  Nº110  X 1000ml   C/TAPA (BANDEX) A $3,7 C/U	300 NOSES DE $3,33 C/U A $999	3 NOSES DE 100 UNIDADES A $999
	PLATOS	PLATOS TERMICOS	 Nº629 S/TAPA	$2,00	100,00	$1,80	300,00	$540,00	10,00	NOSE	NOSE DE 100 UNID.  DE  Nº629 S/TAPA A $2 C/U	300 NOSES DE $1,8 C/U A $540	3 NOSES DE 100 UNIDADES A $540
													
COD.			              VASOS PLASTICOS BLANCOS	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	VASOS	VASOS PLASTICOS BLANCOS	   70   cc 	$28,00	100,00	$0,25	4.900,00	$1.225,00	99,11	PAQ	PAQ DE 100 UNID.  DE    70   cc  A $28 C/U	4900 PAQS DE $0,25 C/U A $1225	49 PAQS DE 100 UNIDADES A $1225
	VASOS	VASOS PLASTICOS BLANCOS	   110 cc	$29,00	100,00	$0,26	3.900,00	$1.014,00	99,10	PAQ	PAQ DE 100 UNID.  DE    110 cc A $29 C/U	3900 PAQS DE $0,26 C/U A $1014	39 PAQS DE 100 UNIDADES A $1014
	VASOS	VASOS PLASTICOS BLANCOS	   180 cc	$30,00	100,00	$0,26	3.000,00	$780,00	99,13	PAQ	PAQ DE 100 UNID.  DE    180 cc A $30 C/U	3000 PAQS DE $0,26 C/U A $780	30 PAQS DE 100 UNIDADES A $780
	VASOS	VASOS PLASTICOS BLANCOS	   220 cc	$37,00	100,00	$0,34	3.000,00	$1.020,00	99,08	PAQ	PAQ DE 100 UNID.  DE    220 cc A $37 C/U	3000 PAQS DE $0,34 C/U A $1020	30 PAQS DE 100 UNIDADES A $1020
	VASOS	VASOS PLASTICOS BLANCOS	   300 cc	$42,00	100,00	$0,46	2.500,00	$1.150,00	98,90	PAQ	PAQ DE 100 UNID.  DE    300 cc A $42 C/U	2500 PAQS DE $0,46 C/U A $1150	25 PAQS DE 100 UNIDADES A $1150
	VASOS	VASOS PLASTICOS BLANCOS	   330 cc	$46,00	100,00	$0,41	2.400,00	$984,00	99,11	PAQ	PAQ DE 100 UNID.  DE    330 cc A $46 C/U	2400 PAQS DE $0,41 C/U A $984	24 PAQS DE 100 UNIDADES A $984
	VASOS	VASOS PLASTICOS BLANCOS	   500 cc	$106,00	100,00	$0,95	960,00	$912,00	99,10	PAQ	PAQ DE 100 UNID.  DE    500 cc A $106 C/U	960 PAQS DE $0,95 C/U A $912	9,6 PAQS DE 100 UNIDADES A $912
	VASOS	VASOS PLASTICOS BLANCOS	   800 cc	$170,00	100,00	$1,53	660,00	$1.009,80	99,10	PAQ	PAQ DE 100 UNID.  DE    800 cc A $170 C/U	660 PAQS DE $1,53 C/U A $1009,8	6,6 PAQS DE 100 UNIDADES A $1009,8
	VASOS	VASOS PLASTICOS BLANCOS	 1000cc	$221,00	100,00	$2,05	660,00	$1.353,00	99,07	PAQ	PAQ DE 100 UNID.  DE  1000cc A $221 C/U	660 PAQS DE $2,05 C/U A $1353	6,6 PAQS DE 100 UNIDADES A $1353
													
COD.			           VASOS DE CRISTAL Y VARIOS	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	VASOS	VASOS DE CRISTAL	CHAMPAGNE CRISTAL	$3,50	100,00	$3,15	300,00	$945,00	10,00	PAQ	PAQ DE 100 UNID.  DE CHAMPAGNE CRISTAL A $3,5 C/U	300 PAQS DE $3,15 C/U A $945	3 PAQS DE 100 UNIDADES A $945
	VASOS	VASOS DE CRISTAL	COMPOTERA CRISTAL	$1,15	100,00	$1,03	550,00	$566,50	10,43	PAQ	PAQ DE 100 UNID.  DE COMPOTERA CRISTAL A $1,15 C/U	550 PAQS DE $1,03 C/U A $566,5	5,5 PAQS DE 100 UNIDADES A $566,5
	VASOS	VASOS DE CRISTAL	WHISKY  CRISTAL	$2,00	100,00	$1,80	260,00	$468,00	10,00	PAQ	PAQ DE 100 UNID.  DE WHISKY  CRISTAL A $2 C/U	260 PAQS DE $1,8 C/U A $468	2,6 PAQS DE 100 UNIDADES A $468
	VASOS	VASOS DE CRISTAL	SIDRA     CRISTAL	$1,00	100,00	$0,90	200,00	$180,00	10,00	PAQ	PAQ DE 100 UNID.  DE SIDRA     CRISTAL A $1 C/U	200 PAQS DE $0,9 C/U A $180	2 PAQS DE 100 UNIDADES A $180
	VASOS	VASOS DE CRISTAL	TRAGO LARGO (azul,rojo,amarillo,verde)	$1,20	100,00	$1,08	250,00	$270,00	10,00	PAQ	PAQ DE 100 UNID.  DE TRAGO LARGO (azul,rojo,amarillo,verde) A $1,2 C/U	250 PAQS DE $1,08 C/U A $270	2,5 PAQS DE 100 UNIDADES A $270
	VASOS	VASOS DE CRISTAL	TRAGO LARGO (transparente)	$1,00	100,00	$0,90	250,00	$225,00	10,00	PAQ	PAQ DE 100 UNID.  DE TRAGO LARGO (transparente) A $1 C/U	250 PAQS DE $0,9 C/U A $225	2,5 PAQS DE 100 UNIDADES A $225
													
COD.			     POTES TERMICOS PARA ALIMENTO	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	POTES	POTES TERMICOS PARA ALIMENTO	 120 cc	$0,30	100,00	$0,27	1.000,00	$270,00	10,00	PAQ	PAQ DE 100 UNID.  DE  120 cc A $0,3 C/U	1000 PAQS DE $0,27 C/U A $270	10 PAQS DE 100 UNIDADES A $270
	POTES	POTES TERMICOS PARA ALIMENTO	 180 cc	$0,40	100,00	$0,34	1.000,00	$340,00	15,00	PAQ	PAQ DE 100 UNID.  DE  180 cc A $0,4 C/U	1000 PAQS DE $0,34 C/U A $340	10 PAQS DE 100 UNIDADES A $340
	POTES	POTES TERMICOS PARA ALIMENTO	 240 cc	$0,50	100,00	$0,44	1.000,00	$440,00	12,00	PAQ	PAQ DE 100 UNID.  DE  240 cc A $0,5 C/U	1000 PAQS DE $0,44 C/U A $440	10 PAQS DE 100 UNIDADES A $440
	POTES	POTES TERMICOS PARA ALIMENTO	 360 cc	$0,75	100,00	$0,66	500,00	$330,00	12,00	PAQ	PAQ DE 100 UNID.  DE  360 cc A $0,75 C/U	500 PAQS DE $0,66 C/U A $330	5 PAQS DE 100 UNIDADES A $330
													
COD.			         POTES TERMICOS PARA HELADO	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	POTES	POTES TERMICOS PARA HELADO	POTE   1/4 KILO	$2,20	20,00	$1,98	100,00	$198,00	10,00	PAQ	PAQ DE 20 UNID.  DE POTE   1/4 KILO A $2,2 C/U	100 PAQS DE $1,98 C/U A $198	5 PAQS DE 20 UNIDADES A $198
	POTES	POTES TERMICOS PARA HELADO	POTE   1/2 KILO	$3,40	20,00	$3,06	100,00	$306,00	10,00	PAQ	PAQ DE 20 UNID.  DE POTE   1/2 KILO A $3,4 C/U	100 PAQS DE $3,06 C/U A $306	5 PAQS DE 20 UNIDADES A $306
	POTES	POTES TERMICOS PARA HELADO	POTE     1  KILO	$4,50	20,00	$4,05	100,00	$405,00	10,00	PAQ	PAQ DE 20 UNID.  DE POTE     1  KILO A $4,5 C/U	100 PAQS DE $4,05 C/U A $405	5 PAQS DE 20 UNIDADES A $405
													
COD.			             VASOS TERMICOS  (DART)                     X MENOR                                                                   X MAYOR	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	VASOS	VASOS TERMICOS DART	  120 cc	$23,00	100,00	$0,20	1.000,00	$200,00	99,13	PAQ	PAQ DE 100 UNID.  DE   120 cc A $23 C/U	1000 PAQS DE $0,2 C/U A $200	10 PAQS DE 100 UNIDADES A $200
	VASOS	VASOS TERMICOS DART	  165 cc	$30,00	100,00	$0,28	1.000,00	$280,00	99,07	PAQ	PAQ DE 100 UNID.  DE   165 cc A $30 C/U	1000 PAQS DE $0,28 C/U A $280	10 PAQS DE 100 UNIDADES A $280
	VASOS	VASOS TERMICOS DART	  180 cc	$28,00	100,00	$0,24	1.000,00	$240,00	99,14	PAQ	PAQ DE 100 UNID.  DE   180 cc A $28 C/U	1000 PAQS DE $0,24 C/U A $240	10 PAQS DE 100 UNIDADES A $240
	VASOS	VASOS TERMICOS DART	  240 cc	$32,00	100,00	$0,29	1.000,00	$290,00	99,09	PAQ	PAQ DE 100 UNID.  DE   240 cc A $32 C/U	1000 PAQS DE $0,29 C/U A $290	10 PAQS DE 100 UNIDADES A $290
	VASOS	VASOS TERMICOS DART	  300 cc	$40,00	100,00	$0,35	1.000,00	$350,00	99,13	PAQ	PAQ DE 100 UNID.  DE   300 cc A $40 C/U	1000 PAQS DE $0,35 C/U A $350	10 PAQS DE 100 UNIDADES A $350
	VASOS	VASOS TERMICOS DART	  330 cc	$46,00	100,00	$0,42	1.000,00	$420,00	99,09	PAQ	PAQ DE 100 UNID.  DE   330 cc A $46 C/U	1000 PAQS DE $0,42 C/U A $420	10 PAQS DE 100 UNIDADES A $420
	VASOS	VASOS TERMICOS DART	  360 cc	$52,00	100,00	$0,48	1.000,00	$480,00	99,08	PAQ	PAQ DE 100 UNID.  DE   360 cc A $52 C/U	1000 PAQS DE $0,48 C/U A $480	10 PAQS DE 100 UNIDADES A $480
	VASOS	VASOS TERMICOS DART	  475 cc	$70,00	100,00	$0,60	1.000,00	$600,00	99,14	PAQ	PAQ DE 100 UNID.  DE   475 cc A $70 C/U	1000 PAQS DE $0,6 C/U A $600	10 PAQS DE 100 UNIDADES A $600
													
COD.			        TAPAS  PARA VASOS TERMICOS	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	VASOS	TAPAS PARA VASOS TERMICOS	4JL  P/VASO 120cc	$24,00	100,00	$0,20	1.000,00	$200,00	99,17	PAQ	PAQ DE 100 UNID.  DE 4JL  P/VASO 120cc A $24 C/U	1000 PAQS DE $0,2 C/U A $200	10 PAQS DE 100 UNIDADES A $200
	VASOS	TAPAS PARA VASOS TERMICOS	6JL  P/VASO 180cc	$26,00	100,00	$0,23	1.000,00	$230,00	99,12	PAQ	PAQ DE 100 UNID.  DE 6JL  P/VASO 180cc A $26 C/U	1000 PAQS DE $0,23 C/U A $230	10 PAQS DE 100 UNIDADES A $230
	VASOS	TAPAS PARA VASOS TERMICOS	8JL  P/VASO 240cc	$28,00	100,00	$0,25	1.000,00	$250,00	99,11	PAQ	PAQ DE 100 UNID.  DE 8JL  P/VASO 240cc A $28 C/U	1000 PAQS DE $0,25 C/U A $250	10 PAQS DE 100 UNIDADES A $250
	VASOS	TAPAS PARA VASOS TERMICOS	10JLP/VASO 300cc	$29,00	100,00	$0,27	1.000,00	$270,00	99,07	PAQ	PAQ DE 100 UNID.  DE 10JLP/VASO 300cc A $29 C/U	1000 PAQS DE $0,27 C/U A $270	10 PAQS DE 100 UNIDADES A $270
	VASOS	TAPAS PARA VASOS TERMICOS	20JLP/VASO 360cc	$43,00	100,00	$0,40	1.000,00	$400,00	99,07	PAQ	PAQ DE 100 UNID.  DE 20JLP/VASO 360cc A $43 C/U	1000 PAQS DE $0,4 C/U A $400	10 PAQS DE 100 UNIDADES A $400
													
COD.			                ALUMINIO  /  BANDEJAS 	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BANDEJAS	BANDEJAS DE ALUMINIO	 F 50	$1,30	100,00	$1,08	800,00	$864,00	16,92	PAQ	PAQ DE 100 UNID.  DE  F 50 A $1,3 C/U	800 PAQS DE $1,08 C/U A $864	8 PAQS DE 100 UNIDADES A $864
	BANDEJAS	BANDEJAS DE ALUMINIO	 F 75	$1,60	100,00	$1,30	800,00	$1.040,00	18,75	PAQ	PAQ DE 100 UNID.  DE  F 75 A $1,6 C/U	800 PAQS DE $1,3 C/U A $1040	8 PAQS DE 100 UNIDADES A $1040
	BANDEJAS	BANDEJAS DE ALUMINIO	 F 100	$2,00	100,00	$1,68	300,00	$504,00	16,00	PAQ	PAQ DE 100 UNID.  DE  F 100 A $2 C/U	300 PAQS DE $1,68 C/U A $504	3 PAQS DE 100 UNIDADES A $504
	BANDEJAS	BANDEJAS DE ALUMINIO	 F 200	$4,20	100,00	$3,51	150,00	$526,50	16,43	PAQ	PAQ DE 100 UNID.  DE  F 200 A $4,2 C/U	150 PAQS DE $3,51 C/U A $526,5	1,5 PAQS DE 100 UNIDADES A $526,5
	TAPAS	TAPAS DE ALUMINIO	 P/F 50	$0,80	100,00	$0,58	400,00	$232,00	27,50	PAQ	PAQ DE 100 UNID.  DE  P/F 50 A $0,8 C/U	400 PAQS DE $0,58 C/U A $232	4 PAQS DE 100 UNIDADES A $232
	TAPAS	TAPAS DE ALUMINIO	 P/F 75	$0,90	100,00	$0,71	400,00	$284,00	21,11	PAQ	PAQ DE 100 UNID.  DE  P/F 75 A $0,9 C/U	400 PAQS DE $0,71 C/U A $284	4 PAQS DE 100 UNIDADES A $284
	TAPAS	TAPAS DE ALUMINIO	 P/F 100	$1,30	100,00	$1,05	300,00	$315,00	19,23	PAQ	PAQ DE 100 UNID.  DE  P/F 100 A $1,3 C/U	300 PAQS DE $1,05 C/U A $315	3 PAQS DE 100 UNIDADES A $315
	TAPAS	TAPAS DE ALUMINIO	 P/F 200	$1,90	100,00	$1,66	150,00	$249,00	12,63	PAQ	PAQ DE 100 UNID.  DE  P/F 200 A $1,9 C/U	150 PAQS DE $1,66 C/U A $249	1,5 PAQS DE 100 UNIDADES A $249
	PLATOS	PLATOS DE ALUMINIO	 P 14	$1,50	100,00	$1,26	800,00	$1.008,00	16,00	PAQ	PAQ DE 100 UNID.  DE  P 14 A $1,5 C/U	800 PAQS DE $1,26 C/U A $1008	8 PAQS DE 100 UNIDADES A $1008
	PLATOS	PLATOS DE ALUMINIO	 P 17	$1,30	100,00	$1,09	900,00	$981,00	16,15	PAQ	PAQ DE 100 UNID.  DE  P 17 A $1,3 C/U	900 PAQS DE $1,09 C/U A $981	9 PAQS DE 100 UNIDADES A $981
	PLATOS	PLATOS DE ALUMINIO	 P 20	$1,50	100,00	$1,26	600,00	$756,00	16,00	PAQ	PAQ DE 100 UNID.  DE  P 20 A $1,5 C/U	600 PAQS DE $1,26 C/U A $756	6 PAQS DE 100 UNIDADES A $756
	PLATOS	PLATOS DE ALUMINIO	 P 21	$1,60	100,00	$1,38	300,00	$414,00	13,75	PAQ	PAQ DE 100 UNID.  DE  P 21 A $1,6 C/U	300 PAQS DE $1,38 C/U A $414	3 PAQS DE 100 UNIDADES A $414
	PLATOS	PLATOS DE ALUMINIO	 P 23	$2,10	100,00	$1,78	300,00	$534,00	15,24	PAQ	PAQ DE 100 UNID.  DE  P 23 A $2,1 C/U	300 PAQS DE $1,78 C/U A $534	3 PAQS DE 100 UNIDADES A $534
	PLATOS	PLATOS DE ALUMINIO	 P 26	$2,40	100,00	$2,01	300,00	$603,00	16,25	PAQ	PAQ DE 100 UNID.  DE  P 26 A $2,4 C/U	300 PAQS DE $2,01 C/U A $603	3 PAQS DE 100 UNIDADES A $603
	PLATOS	PLATOS DE ALUMINIO	 P 29	$3,30	100,00	$2,81	150,00	$421,50	14,85	PAQ	PAQ DE 100 UNID.  DE  P 29 A $3,3 C/U	150 PAQS DE $2,81 C/U A $421,5	1,5 PAQS DE 100 UNIDADES A $421,5
	PLATOS	PLATOS DE ALUMINIO	 P 33	$4,30	100,00	$3,64	150,00	$546,00	15,35	PAQ	PAQ DE 100 UNID.  DE  P 33 A $4,3 C/U	150 PAQS DE $3,64 C/U A $546	1,5 PAQS DE 100 UNIDADES A $546
	BUDINERAS	BUDINERAS DE ALUMINIO	1/2 KILO	$1,50	100,00	$1,32	800,00	$1.056,00	12,00	PAQ	PAQ DE 100 UNID.  DE 1/2 KILO A $1,5 C/U	800 PAQS DE $1,32 C/U A $1056	8 PAQS DE 100 UNIDADES A $1056
	BUDINERAS	BUDINERAS DE ALUMINIO	1  KILO	$3,00	100,00	$2,55	200,00	$510,00	15,00	PAQ	PAQ DE 100 UNID.  DE 1  KILO A $3 C/U	200 PAQS DE $2,55 C/U A $510	2 PAQS DE 100 UNIDADES A $510
	VARIOS	FLANERA ALUMINIO	H 10	$1,10	100,00	$0,89	1.500,00	$1.335,00	19,09	PAQ	PAQ DE 100 UNID.  DE H 10 A $1,1 C/U	1500 PAQS DE $0,89 C/U A $1335	15 PAQS DE 100 UNIDADES A $1335
	VARIOS	FLANERA ALUMINIO	H 7	$1,40	100,00	$1,14	1.500,00	$1.710,00	18,57	PAQ	PAQ DE 100 UNID.  DE H 7 A $1,4 C/U	1500 PAQS DE $1,14 C/U A $1710	15 PAQS DE 100 UNIDADES A $1710
	VARIOS	TAPAS PARA FLANERAS ALUMINIO	H 10	$0,80	100,00	$0,44	1.500,00	$660,00	45,00	PAQ	PAQ DE 100 UNID.  DE H 10 A $0,8 C/U	1500 PAQS DE $0,44 C/U A $660	15 PAQS DE 100 UNIDADES A $660
	VARIOS	CENICEROS DE ALUMINIO	BRILLANTE	$0,60	100,00	$0,36	500,00	$180,00	40,00	PAQ	PAQ DE 100 UNID.  DE BRILLANTE A $0,6 C/U	500 PAQS DE $0,36 C/U A $180	5 PAQS DE 100 UNIDADES A $180
													
COD.			                     BANDAS ELASTICAS                          X MENOR                                                                   X MAYOR	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BANDAS ELASTICAS	BANDAS ELASTICAS	BOLSA X 1000 GRS	$70,00	1,00	$63,00	10,00	$630,00	10,00	BOLSA	1 BOLSA DE BOLSA X 1000 GRS A $70	10 BOLSAS DE $63 C/U A $630	10 BOLSAS A $630
	BANDAS ELASTICAS	BANDAS ELASTICAS	BOLSA X 500   GRS	$35,00	1,00	$31,50	10,00	$315,00	10,00	BOLSA	1 BOLSA DE BOLSA X 500   GRS A $35	10 BOLSAS DE $31,5 C/U A $315	10 BOLSAS A $315
	BANDAS ELASTICAS	BANDAS ELASTICAS	BOLSA X 100   GRS	$10,00	1,00	$8,00	10,00	$80,00	20,00	BOLSA	1 BOLSA DE BOLSA X 100   GRS A $10	10 BOLSAS DE $8 C/U A $80	10 BOLSAS A $80
													
COD.			           BLONDAS DE PAPEL CALADAS 	Pr. unit. minor.	Unidades	Pr. unit. mayor.	  Cantidad	   Bulto	Descuento	   Packaging			
	BLONDAS	BLONDAS DE PAPEL CALADAS	DIAMETRO   9  CMS	$10,00	100,00	$9,00	1,00	$9,00	10,00	PAQ	PAQ DE 100 UNID.  DE DIAMETRO   9  CMS A $10 C/U	1 PAQS DE $9 C/U A $9	0,01 PAQS DE 100 UNIDADES A $9
	BLONDAS	BLONDAS DE PAPEL CALADAS	DIAMETRO 12  CMS	$13,00	100,00	$12,00	1,00	$12,00	7,69	PAQ	PAQ DE 100 UNID.  DE DIAMETRO 12  CMS A $13 C/U	1 PAQS DE $12 C/U A $12	0,01 PAQS DE 100 UNIDADES A $12
	BLONDAS	BLONDAS DE PAPEL CALADAS	DIAMETRO 15  CMS	$18,00	100,00	$16,00	1,00	$16,00	11,11	PAQ	PAQ DE 100 UNID.  DE DIAMETRO 15  CMS A $18 C/U	1 PAQS DE $16 C/U A $16	0,01 PAQS DE 100 UNIDADES A $16
	BLONDAS	BLONDAS DE PAPEL CALADAS	DIAMETRO 18  CMS	$22,00	100,00	$18,00	1,00	$18,00	18,18	PAQ	PAQ DE 100 UNID.  DE DIAMETRO 18  CMS A $22 C/U	1 PAQS DE $18 C/U A $18	0,01 PAQS DE 100 UNIDADES A $18
	BLONDAS	BLONDAS DE PAPEL CALADAS	DIAMETRO 21  CMS	$35,00	100,00	$33,00	1,00	$33,00	5,71	PAQ	PAQ DE 100 UNID.  DE DIAMETRO 21  CMS A $35 C/U	1 PAQS DE $33 C/U A $33	0,01 PAQS DE 100 UNIDADES A $33
	BLONDAS	BLONDAS DE PAPEL CALADAS	DIAMETRO 25  CMS	$37,00	100,00	$35,00	1,00	$35,00	5,41	PAQ	PAQ DE 100 UNID.  DE DIAMETRO 25  CMS A $37 C/U	1 PAQS DE $35 C/U A $35	0,01 PAQS DE 100 UNIDADES A $35
	BLONDAS	BLONDAS DE PAPEL CALADAS	DIAMETRO 28  CMS	$43,00	100,00	$40,00	1,00	$40,00	6,98	PAQ	PAQ DE 100 UNID.  DE DIAMETRO 28  CMS A $43 C/U	1 PAQS DE $40 C/U A $40	0,01 PAQS DE 100 UNIDADES A $40
	BLONDAS	BLONDAS DE PAPEL CALADAS	DIAMETRO 30  CMS	$45,00	100,00	$42,00	1,00	$42,00	6,67	PAQ	PAQ DE 100 UNID.  DE DIAMETRO 30  CMS A $45 C/U	1 PAQS DE $42 C/U A $42	0,01 PAQS DE 100 UNIDADES A $42
